filepath,caption
./dataset/capping_clear/clear_rack_1.jpg,capping clear
./dataset/capping_clear/clear_rack_10.jpg,capping clear
./dataset/capping_clear/clear_rack_100.jpg,capping clear
./dataset/capping_clear/clear_rack_101.jpg,capping clear
./dataset/capping_clear/clear_rack_102.jpg,capping clear
./dataset/capping_clear/clear_rack_103.jpg,capping clear
./dataset/capping_clear/clear_rack_104.jpg,capping clear
./dataset/capping_clear/clear_rack_105.jpg,capping clear
./dataset/capping_clear/clear_rack_106.jpg,capping clear
./dataset/capping_clear/clear_rack_107.jpg,capping clear
./dataset/capping_clear/clear_rack_108.jpg,capping clear
./dataset/capping_clear/clear_rack_109.jpg,capping clear
./dataset/capping_clear/clear_rack_11.jpg,capping clear
./dataset/capping_clear/clear_rack_110.jpg,capping clear
./dataset/capping_clear/clear_rack_111.jpg,capping clear
./dataset/capping_clear/clear_rack_112.jpg,capping clear
./dataset/capping_clear/clear_rack_113.jpg,capping clear
./dataset/capping_clear/clear_rack_114.jpg,capping clear
./dataset/capping_clear/clear_rack_115.jpg,capping clear
./dataset/capping_clear/clear_rack_116.jpg,capping clear
./dataset/capping_clear/clear_rack_117.jpg,capping clear
./dataset/capping_clear/clear_rack_118.jpg,capping clear
./dataset/capping_clear/clear_rack_119.jpg,capping clear
./dataset/capping_clear/clear_rack_12.jpg,capping clear
./dataset/capping_clear/clear_rack_120.jpg,capping clear
./dataset/capping_clear/clear_rack_121.jpg,capping clear
./dataset/capping_clear/clear_rack_122.jpg,capping clear
./dataset/capping_clear/clear_rack_123.jpg,capping clear
./dataset/capping_clear/clear_rack_124.jpg,capping clear
./dataset/capping_clear/clear_rack_125.jpg,capping clear
./dataset/capping_clear/clear_rack_126.jpg,capping clear
./dataset/capping_clear/clear_rack_127.jpg,capping clear
./dataset/capping_clear/clear_rack_128.jpg,capping clear
./dataset/capping_clear/clear_rack_129.jpg,capping clear
./dataset/capping_clear/clear_rack_13.jpg,capping clear
./dataset/capping_clear/clear_rack_130.jpg,capping clear
./dataset/capping_clear/clear_rack_131.jpg,capping clear
./dataset/capping_clear/clear_rack_132.jpg,capping clear
./dataset/capping_clear/clear_rack_133.jpg,capping clear
./dataset/capping_clear/clear_rack_134.jpg,capping clear
./dataset/capping_clear/clear_rack_135.jpg,capping clear
./dataset/capping_clear/clear_rack_136.jpg,capping clear
./dataset/capping_clear/clear_rack_137.jpg,capping clear
./dataset/capping_clear/clear_rack_138.jpg,capping clear
./dataset/capping_clear/clear_rack_139.jpg,capping clear
./dataset/capping_clear/clear_rack_14.jpg,capping clear
./dataset/capping_clear/clear_rack_140.jpg,capping clear
./dataset/capping_clear/clear_rack_141.jpg,capping clear
./dataset/capping_clear/clear_rack_142.jpg,capping clear
./dataset/capping_clear/clear_rack_143.jpg,capping clear
./dataset/capping_clear/clear_rack_144.jpg,capping clear
./dataset/capping_clear/clear_rack_145.jpg,capping clear
./dataset/capping_clear/clear_rack_146.jpg,capping clear
./dataset/capping_clear/clear_rack_147.jpg,capping clear
./dataset/capping_clear/clear_rack_148.jpg,capping clear
./dataset/capping_clear/clear_rack_149.jpg,capping clear
./dataset/capping_clear/clear_rack_15.jpg,capping clear
./dataset/capping_clear/clear_rack_150.jpg,capping clear
./dataset/capping_clear/clear_rack_151.jpg,capping clear
./dataset/capping_clear/clear_rack_152.jpg,capping clear
./dataset/capping_clear/clear_rack_153.jpg,capping clear
./dataset/capping_clear/clear_rack_154.jpg,capping clear
./dataset/capping_clear/clear_rack_155.jpg,capping clear
./dataset/capping_clear/clear_rack_156.jpg,capping clear
./dataset/capping_clear/clear_rack_157.jpg,capping clear
./dataset/capping_clear/clear_rack_158.jpg,capping clear
./dataset/capping_clear/clear_rack_159.jpg,capping clear
./dataset/capping_clear/clear_rack_16.jpg,capping clear
./dataset/capping_clear/clear_rack_160.jpg,capping clear
./dataset/capping_clear/clear_rack_161.jpg,capping clear
./dataset/capping_clear/clear_rack_162.jpg,capping clear
./dataset/capping_clear/clear_rack_163.jpg,capping clear
./dataset/capping_clear/clear_rack_164.jpg,capping clear
./dataset/capping_clear/clear_rack_165.jpg,capping clear
./dataset/capping_clear/clear_rack_166.jpg,capping clear
./dataset/capping_clear/clear_rack_167.jpg,capping clear
./dataset/capping_clear/clear_rack_168.jpg,capping clear
./dataset/capping_clear/clear_rack_169.jpg,capping clear
./dataset/capping_clear/clear_rack_17.jpg,capping clear
./dataset/capping_clear/clear_rack_170.jpg,capping clear
./dataset/capping_clear/clear_rack_171.jpg,capping clear
./dataset/capping_clear/clear_rack_172.jpg,capping clear
./dataset/capping_clear/clear_rack_173.jpg,capping clear
./dataset/capping_clear/clear_rack_174.jpg,capping clear
./dataset/capping_clear/clear_rack_175.jpg,capping clear
./dataset/capping_clear/clear_rack_176.jpg,capping clear
./dataset/capping_clear/clear_rack_177.jpg,capping clear
./dataset/capping_clear/clear_rack_178.jpg,capping clear
./dataset/capping_clear/clear_rack_179.jpg,capping clear
./dataset/capping_clear/clear_rack_18.jpg,capping clear
./dataset/capping_clear/clear_rack_180.jpg,capping clear
./dataset/capping_clear/clear_rack_181.jpg,capping clear
./dataset/capping_clear/clear_rack_182.jpg,capping clear
./dataset/capping_clear/clear_rack_183.jpg,capping clear
./dataset/capping_clear/clear_rack_184.jpg,capping clear
./dataset/capping_clear/clear_rack_185.jpg,capping clear
./dataset/capping_clear/clear_rack_186.jpg,capping clear
./dataset/capping_clear/clear_rack_187.jpg,capping clear
./dataset/capping_clear/clear_rack_188.jpg,capping clear
./dataset/capping_clear/clear_rack_189.jpg,capping clear
./dataset/capping_clear/clear_rack_19.jpg,capping clear
./dataset/capping_clear/clear_rack_190.jpg,capping clear
./dataset/capping_clear/clear_rack_191.jpg,capping clear
./dataset/capping_clear/clear_rack_192.jpg,capping clear
./dataset/capping_clear/clear_rack_193.jpg,capping clear
./dataset/capping_clear/clear_rack_194.jpg,capping clear
./dataset/capping_clear/clear_rack_195.jpg,capping clear
./dataset/capping_clear/clear_rack_196.jpg,capping clear
./dataset/capping_clear/clear_rack_197.jpg,capping clear
./dataset/capping_clear/clear_rack_198.jpg,capping clear
./dataset/capping_clear/clear_rack_199.jpg,capping clear
./dataset/capping_clear/clear_rack_2.jpg,capping clear
./dataset/capping_clear/clear_rack_20.jpg,capping clear
./dataset/capping_clear/clear_rack_200.jpg,capping clear
./dataset/capping_clear/clear_rack_201.jpg,capping clear
./dataset/capping_clear/clear_rack_202.jpg,capping clear
./dataset/capping_clear/clear_rack_203.jpg,capping clear
./dataset/capping_clear/clear_rack_204.jpg,capping clear
./dataset/capping_clear/clear_rack_205.jpg,capping clear
./dataset/capping_clear/clear_rack_206.jpg,capping clear
./dataset/capping_clear/clear_rack_207.jpg,capping clear
./dataset/capping_clear/clear_rack_208.jpg,capping clear
./dataset/capping_clear/clear_rack_209.jpg,capping clear
./dataset/capping_clear/clear_rack_21.jpg,capping clear
./dataset/capping_clear/clear_rack_210.jpg,capping clear
./dataset/capping_clear/clear_rack_211.jpg,capping clear
./dataset/capping_clear/clear_rack_212.jpg,capping clear
./dataset/capping_clear/clear_rack_213.jpg,capping clear
./dataset/capping_clear/clear_rack_214.jpg,capping clear
./dataset/capping_clear/clear_rack_215.jpg,capping clear
./dataset/capping_clear/clear_rack_216.jpg,capping clear
./dataset/capping_clear/clear_rack_217.jpg,capping clear
./dataset/capping_clear/clear_rack_218.jpg,capping clear
./dataset/capping_clear/clear_rack_219.jpg,capping clear
./dataset/capping_clear/clear_rack_22.jpg,capping clear
./dataset/capping_clear/clear_rack_220.jpg,capping clear
./dataset/capping_clear/clear_rack_221.jpg,capping clear
./dataset/capping_clear/clear_rack_222.jpg,capping clear
./dataset/capping_clear/clear_rack_223.jpg,capping clear
./dataset/capping_clear/clear_rack_224.jpg,capping clear
./dataset/capping_clear/clear_rack_225.jpg,capping clear
./dataset/capping_clear/clear_rack_226.jpg,capping clear
./dataset/capping_clear/clear_rack_227.jpg,capping clear
./dataset/capping_clear/clear_rack_228.jpg,capping clear
./dataset/capping_clear/clear_rack_229.jpg,capping clear
./dataset/capping_clear/clear_rack_23.jpg,capping clear
./dataset/capping_clear/clear_rack_230.jpg,capping clear
./dataset/capping_clear/clear_rack_231.jpg,capping clear
./dataset/capping_clear/clear_rack_232.jpg,capping clear
./dataset/capping_clear/clear_rack_233.jpg,capping clear
./dataset/capping_clear/clear_rack_234.jpg,capping clear
./dataset/capping_clear/clear_rack_235.jpg,capping clear
./dataset/capping_clear/clear_rack_236.jpg,capping clear
./dataset/capping_clear/clear_rack_237.jpg,capping clear
./dataset/capping_clear/clear_rack_238.jpg,capping clear
./dataset/capping_clear/clear_rack_239.jpg,capping clear
./dataset/capping_clear/clear_rack_24.jpg,capping clear
./dataset/capping_clear/clear_rack_240.jpg,capping clear
./dataset/capping_clear/clear_rack_241.jpg,capping clear
./dataset/capping_clear/clear_rack_242.jpg,capping clear
./dataset/capping_clear/clear_rack_243.jpg,capping clear
./dataset/capping_clear/clear_rack_244.jpg,capping clear
./dataset/capping_clear/clear_rack_245.jpg,capping clear
./dataset/capping_clear/clear_rack_246.jpg,capping clear
./dataset/capping_clear/clear_rack_247.jpg,capping clear
./dataset/capping_clear/clear_rack_248.jpg,capping clear
./dataset/capping_clear/clear_rack_249.jpg,capping clear
./dataset/capping_clear/clear_rack_25.jpg,capping clear
./dataset/capping_clear/clear_rack_250.jpg,capping clear
./dataset/capping_clear/clear_rack_251.jpg,capping clear
./dataset/capping_clear/clear_rack_252.jpg,capping clear
./dataset/capping_clear/clear_rack_253.jpg,capping clear
./dataset/capping_clear/clear_rack_254.jpg,capping clear
./dataset/capping_clear/clear_rack_255.jpg,capping clear
./dataset/capping_clear/clear_rack_256.jpg,capping clear
./dataset/capping_clear/clear_rack_257.jpg,capping clear
./dataset/capping_clear/clear_rack_258.jpg,capping clear
./dataset/capping_clear/clear_rack_259.jpg,capping clear
./dataset/capping_clear/clear_rack_26.jpg,capping clear
./dataset/capping_clear/clear_rack_260.jpg,capping clear
./dataset/capping_clear/clear_rack_261.jpg,capping clear
./dataset/capping_clear/clear_rack_262.jpg,capping clear
./dataset/capping_clear/clear_rack_263.jpg,capping clear
./dataset/capping_clear/clear_rack_264.jpg,capping clear
./dataset/capping_clear/clear_rack_265.jpg,capping clear
./dataset/capping_clear/clear_rack_266.jpg,capping clear
./dataset/capping_clear/clear_rack_267.jpg,capping clear
./dataset/capping_clear/clear_rack_268.jpg,capping clear
./dataset/capping_clear/clear_rack_269.jpg,capping clear
./dataset/capping_clear/clear_rack_27.jpg,capping clear
./dataset/capping_clear/clear_rack_270.jpg,capping clear
./dataset/capping_clear/clear_rack_271.jpg,capping clear
./dataset/capping_clear/clear_rack_272.jpg,capping clear
./dataset/capping_clear/clear_rack_273.jpg,capping clear
./dataset/capping_clear/clear_rack_274.jpg,capping clear
./dataset/capping_clear/clear_rack_275.jpg,capping clear
./dataset/capping_clear/clear_rack_276.jpg,capping clear
