filepath,caption
./dataset\chemspeed_clear\image_1.jpg,chemspeed clear
./dataset\chemspeed_clear\image_10.jpg,chemspeed clear
./dataset\chemspeed_clear\image_100.jpg,chemspeed clear
./dataset\chemspeed_clear\image_101.jpg,chemspeed clear
./dataset\chemspeed_clear\image_102.jpg,chemspeed clear
./dataset\chemspeed_clear\image_103.jpg,chemspeed clear
./dataset\chemspeed_clear\image_104.jpg,chemspeed clear
./dataset\chemspeed_clear\image_105.jpg,chemspeed clear
./dataset\chemspeed_clear\image_106.jpg,chemspeed clear
./dataset\chemspeed_clear\image_107.jpg,chemspeed clear
./dataset\chemspeed_clear\image_108.jpg,chemspeed clear
./dataset\chemspeed_clear\image_109.jpg,chemspeed clear
./dataset\chemspeed_clear\image_11.jpg,chemspeed clear
./dataset\chemspeed_clear\image_110.jpg,chemspeed clear
./dataset\chemspeed_clear\image_111.jpg,chemspeed clear
./dataset\chemspeed_clear\image_112.jpg,chemspeed clear
./dataset\chemspeed_clear\image_113.jpg,chemspeed clear
./dataset\chemspeed_clear\image_114.jpg,chemspeed clear
./dataset\chemspeed_clear\image_115.jpg,chemspeed clear
./dataset\chemspeed_clear\image_116.jpg,chemspeed clear
./dataset\chemspeed_clear\image_117.jpg,chemspeed clear
./dataset\chemspeed_clear\image_118.jpg,chemspeed clear
./dataset\chemspeed_clear\image_119.jpg,chemspeed clear
./dataset\chemspeed_clear\image_12.jpg,chemspeed clear
./dataset\chemspeed_clear\image_120.jpg,chemspeed clear
./dataset\chemspeed_clear\image_121.jpg,chemspeed clear
./dataset\chemspeed_clear\image_122.jpg,chemspeed clear
./dataset\chemspeed_clear\image_123.jpg,chemspeed clear
./dataset\chemspeed_clear\image_124.jpg,chemspeed clear
./dataset\chemspeed_clear\image_125.jpg,chemspeed clear
./dataset\chemspeed_clear\image_126.jpg,chemspeed clear
./dataset\chemspeed_clear\image_127.jpg,chemspeed clear
./dataset\chemspeed_clear\image_128.jpg,chemspeed clear
./dataset\chemspeed_clear\image_129.jpg,chemspeed clear
./dataset\chemspeed_clear\image_13.jpg,chemspeed clear
./dataset\chemspeed_clear\image_130.jpg,chemspeed clear
./dataset\chemspeed_clear\image_131.jpg,chemspeed clear
./dataset\chemspeed_clear\image_132.jpg,chemspeed clear
./dataset\chemspeed_clear\image_133.jpg,chemspeed clear
./dataset\chemspeed_clear\image_134.jpg,chemspeed clear
./dataset\chemspeed_clear\image_135.jpg,chemspeed clear
./dataset\chemspeed_clear\image_136.jpg,chemspeed clear
./dataset\chemspeed_clear\image_137.jpg,chemspeed clear
./dataset\chemspeed_clear\image_138.jpg,chemspeed clear
./dataset\chemspeed_clear\image_139.jpg,chemspeed clear
./dataset\chemspeed_clear\image_14.jpg,chemspeed clear
./dataset\chemspeed_clear\image_140.jpg,chemspeed clear
./dataset\chemspeed_clear\image_141.jpg,chemspeed clear
./dataset\chemspeed_clear\image_142.jpg,chemspeed clear
./dataset\chemspeed_clear\image_143.jpg,chemspeed clear
./dataset\chemspeed_clear\image_144.jpg,chemspeed clear
./dataset\chemspeed_clear\image_145.jpg,chemspeed clear
./dataset\chemspeed_clear\image_146.jpg,chemspeed clear
./dataset\chemspeed_clear\image_147.jpg,chemspeed clear
./dataset\chemspeed_clear\image_148.jpg,chemspeed clear
./dataset\chemspeed_clear\image_149.jpg,chemspeed clear
./dataset\chemspeed_clear\image_15.jpg,chemspeed clear
./dataset\chemspeed_clear\image_150.jpg,chemspeed clear
./dataset\chemspeed_clear\image_151.jpg,chemspeed clear
./dataset\chemspeed_clear\image_152.jpg,chemspeed clear
./dataset\chemspeed_clear\image_153.jpg,chemspeed clear
./dataset\chemspeed_clear\image_154.jpg,chemspeed clear
./dataset\chemspeed_clear\image_155.jpg,chemspeed clear
./dataset\chemspeed_clear\image_156.jpg,chemspeed clear
./dataset\chemspeed_clear\image_157.jpg,chemspeed clear
./dataset\chemspeed_clear\image_158.jpg,chemspeed clear
./dataset\chemspeed_clear\image_159.jpg,chemspeed clear
./dataset\chemspeed_clear\image_16.jpg,chemspeed clear
./dataset\chemspeed_clear\image_160.jpg,chemspeed clear
./dataset\chemspeed_clear\image_161.jpg,chemspeed clear
./dataset\chemspeed_clear\image_162.jpg,chemspeed clear
./dataset\chemspeed_clear\image_163.jpg,chemspeed clear
./dataset\chemspeed_clear\image_164.jpg,chemspeed clear
./dataset\chemspeed_clear\image_165.jpg,chemspeed clear
./dataset\chemspeed_clear\image_166.jpg,chemspeed clear
./dataset\chemspeed_clear\image_167.jpg,chemspeed clear
./dataset\chemspeed_clear\image_168.jpg,chemspeed clear
