filepath,caption
./dataset/capping_hazard/missing_cap_66.jpg,capping missing cap
dataset/navigation/object vial on the floor_66.jpg,navigation object vial
./dataset/capping_hazard/spillage_49.jpg,capping spillage
dataset/navigation/Empty floor_542.jpg,navigation Empty floor
./dataset/capping_hazard/spillage_96.jpg,capping spillage
./dataset/capping_clear/clear_rack_486.jpg,capping clear
./dataset\chemspeed_clear\image_372.jpg,chemspeed clear
./dataset\chemspeed_hazard\image_417.jpg,chemspeed hazard
./dataset\chemspeed_hazard\image_409.jpg,chemspeed hazard
./dataset/capping_hazard/spillage_5.jpg,capping spillage
./dataset\chemspeed_hazard\image_336.jpg,chemspeed hazard
dataset/navigation/Empty floor_50.jpg,navigation Empty floor
./dataset\chemspeed_clear\image_469.jpg,chemspeed clear
./dataset\chemspeed_clear\image_132.jpg,chemspeed clear
dataset/navigation/Empty floor_29.jpg,navigation Empty floor
dataset/navigation/Empty floor_55.jpg,navigation Empty floor
dataset/navigation/object vial on the floor_26.jpg,navigation object vial
./dataset/capping_clear/clear_rack_250.jpg,capping clear
./dataset/capping_hazard/missing_vial_26.jpg,capping missing vial
dataset/navigation/Empty floor_130.jpg,navigation Empty floor
dataset/navigation/Empty floor_8.jpg,navigation Empty floor
./dataset\chemspeed_hazard\image_113.jpg,chemspeed hazard
dataset/navigation/other objects on the floor_86.jpg,navigation other objects
./dataset/capping_clear/clear_rack_149.jpg,capping clear
./dataset\chemspeed_hazard\image_110.jpg,chemspeed hazard
dataset/navigation/Empty floor_437.jpg,navigation Empty floor
dataset/navigation/other objects on the floor_12.jpg,navigation other objects
./dataset/capping_clear/clear_rack_119.jpg,capping clear
dataset/navigation/object tool on the floor_106.jpg,navigation object tool
dataset/navigation/Empty floor_137.jpg,navigation Empty floor
./dataset/capping_hazard/missing_cap_85.jpg,capping missing cap
./dataset\chemspeed_hazard\image_128.jpg,chemspeed hazard
./dataset\chemspeed_clear\image_440.jpg,chemspeed clear
./dataset\chemspeed_clear\image_86.jpg,chemspeed clear
./dataset\chemspeed_clear\image_288.jpg,chemspeed clear
./dataset/capping_clear/clear_rack_35.jpg,capping clear
./dataset/capping_clear/clear_rack_81.jpg,capping clear
dataset/navigation/Empty floor_363.jpg,navigation Empty floor
dataset/navigation/other objects on the floor_123.jpg,navigation other objects
./dataset\chemspeed_hazard\image_204.jpg,chemspeed hazard
dataset/navigation/other objects on the floor_126.jpg,navigation other objects
dataset/navigation/object glove on the floor_7.jpg,navigation object glove
./dataset/capping_hazard/spillage_32.jpg,capping spillage
./dataset/capping_clear/clear_rack_80.jpg,capping clear
dataset/navigation/Empty floor_193.jpg,navigation Empty floor
./dataset/capping_hazard/obstruction_84.jpg,capping obstruction
./dataset/capping_clear/clear_rack_451.jpg,capping clear
dataset/navigation/Empty floor_513.jpg,navigation Empty floor
dataset/navigation/Empty floor_169.jpg,navigation Empty floor
./dataset\chemspeed_clear\image_439.jpg,chemspeed clear
./dataset\chemspeed_clear\image_492.jpg,chemspeed clear
./dataset\chemspeed_clear\image_341.jpg,chemspeed clear
./dataset/capping_clear/clear_rack_427.jpg,capping clear
./dataset\chemspeed_hazard\image_281.jpg,chemspeed hazard
./dataset\chemspeed_clear\image_134.jpg,chemspeed clear
./dataset\chemspeed_hazard\image_343.jpg,chemspeed hazard
./dataset\chemspeed_clear\image_229.jpg,chemspeed clear
./dataset\chemspeed_clear\image_422.jpg,chemspeed clear
dataset/navigation/Empty floor_425.jpg,navigation Empty floor
./dataset\chemspeed_clear\image_226.jpg,chemspeed clear
dataset/navigation/object tool on the floor_125.jpg,navigation object tool
dataset/navigation/Empty floor_361.jpg,navigation Empty floor
./dataset\chemspeed_hazard\image_244.jpg,chemspeed hazard
./dataset/capping_hazard/spillage_69.jpg,capping spillage
dataset/navigation/Empty floor_397.jpg,navigation Empty floor
dataset/navigation/Empty floor_95.jpg,navigation Empty floor
dataset/navigation/object glove on the floor_2.jpg,navigation object glove
dataset/navigation/Empty floor_251.jpg,navigation Empty floor
dataset/navigation/Empty floor_5.jpg,navigation Empty floor
./dataset\chemspeed_clear\image_470.jpg,chemspeed clear
./dataset/capping_clear/clear_rack_6.jpg,capping clear
dataset/navigation/Empty floor_257.jpg,navigation Empty floor
./dataset\chemspeed_hazard\image_57.jpg,chemspeed hazard
dataset/navigation/other objects on the floor_138.jpg,navigation other objects
dataset/navigation/object vial on the floor_131.jpg,navigation object vial
./dataset\chemspeed_hazard\image_463.jpg,chemspeed hazard
./dataset/capping_hazard/obstruction_31.jpg,capping obstruction
./dataset\chemspeed_hazard\image_92.jpg,chemspeed hazard
./dataset\chemspeed_hazard\image_179.jpg,chemspeed hazard
./dataset\chemspeed_hazard\image_19.jpg,chemspeed hazard
./dataset\chemspeed_hazard\image_475.jpg,chemspeed hazard
./dataset\chemspeed_hazard\image_22.jpg,chemspeed hazard
./dataset/capping_hazard/spillage_72.jpg,capping spillage
./dataset\chemspeed_clear\image_12.jpg,chemspeed clear
./dataset\chemspeed_hazard\image_216.jpg,chemspeed hazard
./dataset\chemspeed_clear\image_260.jpg,chemspeed clear
./dataset\chemspeed_clear\image_9.jpg,chemspeed clear
./dataset/capping_clear/clear_rack_45.jpg,capping clear
dataset/navigation/object tool on the floor_81.jpg,navigation object tool
./dataset\chemspeed_clear\image_461.jpg,chemspeed clear
./dataset/capping_hazard/obstruction_86.jpg,capping obstruction
./dataset/capping_clear/clear_rack_462.jpg,capping clear
dataset/navigation/Empty floor_65.jpg,navigation Empty floor
./dataset\chemspeed_hazard\image_337.jpg,chemspeed hazard
dataset/navigation/Empty floor_388.jpg,navigation Empty floor
./dataset/capping_hazard/missing_cap_37.jpg,capping missing cap
dataset/navigation/Empty floor_538.jpg,navigation Empty floor
dataset/navigation/Empty floor_457.jpg,navigation Empty floor
dataset/navigation/Empty floor_27.jpg,navigation Empty floor
./dataset\chemspeed_hazard\image_323.jpg,chemspeed hazard
./dataset/capping_clear/clear_rack_277.jpg,capping clear
./dataset/capping_clear/clear_rack_123.jpg,capping clear
./dataset\chemspeed_clear\image_246.jpg,chemspeed clear
./dataset/capping_hazard/obstruction_89.jpg,capping obstruction
dataset/navigation/Empty floor_489.jpg,navigation Empty floor
./dataset\chemspeed_hazard\image_9.jpg,chemspeed hazard
./dataset\chemspeed_clear\image_163.jpg,chemspeed clear
./dataset\chemspeed_clear\image_477.jpg,chemspeed clear
./dataset/capping_clear/clear_rack_409.jpg,capping clear
dataset/navigation/object vial on the floor_74.jpg,navigation object vial
./dataset\chemspeed_hazard\image_289.jpg,chemspeed hazard
./dataset\chemspeed_hazard\image_262.jpg,chemspeed hazard
dataset/navigation/object tool on the floor_57.jpg,navigation object tool
./dataset\chemspeed_clear\image_300.jpg,chemspeed clear
./dataset\chemspeed_hazard\image_63.jpg,chemspeed hazard
dataset/navigation/object glove on the floor_71.jpg,navigation object glove
./dataset/capping_clear/clear_rack_73.jpg,capping clear
./dataset\chemspeed_hazard\image_344.jpg,chemspeed hazard
dataset/navigation/Empty floor_455.jpg,navigation Empty floor
dataset/navigation/object tool on the floor_95.jpg,navigation object tool
./dataset/capping_hazard/missing_vial_16.jpg,capping missing vial
dataset/navigation/other objects on the floor_118.jpg,navigation other objects
dataset/navigation/Empty floor_145.jpg,navigation Empty floor
dataset/navigation/Empty floor_456.jpg,navigation Empty floor
dataset/navigation/Empty floor_275.jpg,navigation Empty floor
dataset/navigation/Empty floor_174.jpg,navigation Empty floor
./dataset/capping_hazard/missing_vial_100.jpg,capping missing vial
./dataset\chemspeed_clear\image_55.jpg,chemspeed clear
./dataset/capping_hazard/obstruction_54.jpg,capping obstruction
./dataset/capping_clear/clear_rack_78.jpg,capping clear
./dataset\chemspeed_clear\image_23.jpg,chemspeed clear
dataset/navigation/Empty floor_149.jpg,navigation Empty floor
dataset/navigation/object tool on the floor_71.jpg,navigation object tool
./dataset\chemspeed_clear\image_407.jpg,chemspeed clear
./dataset\chemspeed_clear\image_64.jpg,chemspeed clear
dataset/navigation/object vial on the floor_67.jpg,navigation object vial
./dataset/capping_hazard/spillage_81.jpg,capping spillage
dataset/navigation/object tool on the floor_18.jpg,navigation object tool
./dataset/capping_clear/clear_rack_320.jpg,capping clear
dataset/navigation/object tool on the floor_52.jpg,navigation object tool
./dataset/capping_hazard/missing_vial_6.jpg,capping missing vial
./dataset\chemspeed_clear\image_127.jpg,chemspeed clear
dataset/navigation/Empty floor_124.jpg,navigation Empty floor
dataset/navigation/Empty floor_391.jpg,navigation Empty floor
dataset/navigation/object glove on the floor_92.jpg,navigation object glove
./dataset/capping_hazard/missing_vial_79.jpg,capping missing vial
dataset/navigation/object glove on the floor_107.jpg,navigation object glove
dataset/navigation/object vial on the floor_42.jpg,navigation object vial
dataset/navigation/object vial on the floor_87.jpg,navigation object vial
dataset/navigation/Empty floor_177.jpg,navigation Empty floor
./dataset/capping_clear/clear_rack_141.jpg,capping clear
./dataset/capping_hazard/missing_vial_97.jpg,capping missing vial
dataset/navigation/object tool on the floor_11.jpg,navigation object tool
./dataset\chemspeed_clear\image_358.jpg,chemspeed clear
./dataset/capping_clear/clear_rack_132.jpg,capping clear
./dataset/capping_hazard/missing_vial_37.jpg,capping missing vial
./dataset\chemspeed_hazard\image_405.jpg,chemspeed hazard
dataset/navigation/Empty floor_131.jpg,navigation Empty floor
./dataset\chemspeed_hazard\image_378.jpg,chemspeed hazard
./dataset/capping_hazard/missing_cap_36.jpg,capping missing cap
./dataset\chemspeed_clear\image_46.jpg,chemspeed clear
./dataset\chemspeed_clear\image_327.jpg,chemspeed clear
dataset/navigation/object tool on the floor_31.jpg,navigation object tool
dataset/navigation/object vial on the floor_95.jpg,navigation object vial
./dataset\chemspeed_hazard\image_356.jpg,chemspeed hazard
./dataset/capping_clear/clear_rack_104.jpg,capping clear
dataset/navigation/Empty floor_30.jpg,navigation Empty floor
./dataset/capping_clear/clear_rack_437.jpg,capping clear
./dataset\chemspeed_clear\image_31.jpg,chemspeed clear
./dataset\chemspeed_hazard\image_168.jpg,chemspeed hazard
./dataset\chemspeed_clear\image_272.jpg,chemspeed clear
./dataset/capping_hazard/obstruction_17.jpg,capping obstruction
./dataset/capping_clear/clear_rack_220.jpg,capping clear
./dataset/capping_clear/clear_rack_76.jpg,capping clear
dataset/navigation/Empty floor_494.jpg,navigation Empty floor
./dataset\chemspeed_clear\image_352.jpg,chemspeed clear
dataset/navigation/Empty floor_213.jpg,navigation Empty floor
dataset/navigation/Empty floor_365.jpg,navigation Empty floor
dataset/navigation/other objects on the floor_14.jpg,navigation other objects
./dataset\chemspeed_hazard\image_105.jpg,chemspeed hazard
./dataset\chemspeed_clear\image_62.jpg,chemspeed clear
./dataset\chemspeed_hazard\image_75.jpg,chemspeed hazard
