2025-04-24 13:18:36,990 INFO    MainThread:40352 [wandb_setup.py:_flush():68] Current SDK version is 0.19.10
2025-04-24 13:18:36,992 INFO    MainThread:40352 [wandb_setup.py:_flush():68] Configure stats pid to 40352
2025-04-24 13:18:36,992 INFO    MainThread:40352 [wandb_setup.py:_flush():68] Loading settings from C:\Users\28098\.config\wandb\settings
2025-04-24 13:18:36,992 INFO    MainThread:40352 [wandb_setup.py:_flush():68] Loading settings from D:\2-postdoc\fun_stuff\2-Satheesh\open_clip\wandb\settings
2025-04-24 13:18:36,992 INFO    MainThread:40352 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-04-24 13:18:36,992 INFO    MainThread:40352 [wandb_init.py:setup_run_log_directory():724] Logging user logs to D:\2-postdoc\fun_stuff\2-Satheesh\open_clip\wandb\run-20250424_131836-iijcjwf6\logs\debug.log
2025-04-24 13:18:36,993 INFO    MainThread:40352 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to D:\2-postdoc\fun_stuff\2-Satheesh\open_clip\wandb\run-20250424_131836-iijcjwf6\logs\debug-internal.log
2025-04-24 13:18:36,993 INFO    MainThread:40352 [wandb_init.py:init():852] calling init triggers
2025-04-24 13:18:36,993 INFO    MainThread:40352 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-04-24 13:18:36,993 INFO    MainThread:40352 [wandb_init.py:init():893] starting backend
2025-04-24 13:18:36,994 INFO    MainThread:40352 [wandb_init.py:init():897] sending inform_init request
2025-04-24 13:18:37,006 INFO    MainThread:40352 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-04-24 13:18:37,007 INFO    MainThread:40352 [wandb_init.py:init():907] backend started and connected
2025-04-24 13:18:37,007 INFO    MainThread:40352 [wandb_init.py:init():1002] updated telemetry
2025-04-24 13:18:37,203 INFO    MainThread:40352 [wandb_init.py:init():1026] communicating run to backend with 90.0 second timeout
2025-04-24 13:18:37,642 INFO    MainThread:40352 [wandb_init.py:init():1101] starting run threads in backend
2025-04-24 13:18:37,791 INFO    MainThread:40352 [wandb_run.py:_console_start():2566] atexit reg
2025-04-24 13:18:37,791 INFO    MainThread:40352 [wandb_run.py:_redirect():2414] redirect: wrap_raw
2025-04-24 13:18:37,791 INFO    MainThread:40352 [wandb_run.py:_redirect():2483] Wrapping output streams.
2025-04-24 13:18:37,791 INFO    MainThread:40352 [wandb_run.py:_redirect():2506] Redirects installed.
2025-04-24 13:18:37,793 INFO    MainThread:40352 [wandb_init.py:init():1147] run started, returning control to user process
